         4167088 function calls (4151322 primitive calls) in 33.934 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.008    0.008 Image.py:1(<module>)
        1    0.001    0.001    0.113    0.113 add_newdocs.py:10(<module>)
        1    0.001    0.001    0.001    0.001 argparse.py:62(<module>)
        2    0.001    0.000    0.003    0.001 function_base.py:1(<module>)
        1    0.001    0.001    0.001    0.001 collections.py:1(<module>)
  260/144    0.001    0.000    0.002    0.000 {next}
      314    0.001    0.000    0.001    0.000 sre_parse.py:90(__init__)
       26    0.001    0.000    0.002    0.000 numerictypes.py:232(bitname)
        3    0.001    0.000    0.001    0.000 numeric.py:346(extend_all)
      512    0.001    0.000    0.001    0.000 {chr}
        1    0.001    0.001    0.070    0.070 inspect.py:25(<module>)
       31    0.001    0.000    0.001    0.000 _inspect.py:159(formatargspec)
        9    0.001    0.000    0.002    0.000 abc.py:86(__new__)
      269    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       34    0.001    0.000    0.001    0.000 argparse.py:1223(register)
        1    0.001    0.001    0.002    0.002 io.py:34(<module>)
        1    0.001    0.001    0.002    0.002 tempfile.py:18(<module>)
       31    0.001    0.000    0.078    0.003 re.py:226(_compile)
        1    0.001    0.001    0.004    0.004 ctypeslib.py:51(<module>)
      417    0.001    0.000    0.001    0.000 {ord}
      391    0.001    0.000    0.001    0.000 sre_compile.py:24(_identityfunction)
      312    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.070    0.070 sceneparser.py:1(<module>)
       38    0.000    0.000    0.002    0.000 {all}
      269    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.062    0.062 tokenize.py:23(<module>)
       86    0.000    0.000    0.001    0.000 sre_parse.py:257(_escape)
      278    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 random.py:40(<module>)
       40    0.000    0.000    0.001    0.000 posixpath.py:68(join)
        5    0.000    0.000    0.001    0.000 inspect.py:247(getmembers)
      150    0.000    0.000    0.001    0.000 sceneparser.py:89(getTokens)
       92    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
       21    0.000    0.000    0.005    0.000 sre_compile.py:359(_compile_info)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
       13    0.000    0.000    0.003    0.000 sceneparser.py:62(parseClassArgs)
       38    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.001    0.001 _datasource.py:33(<module>)
       68    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       33    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x833eda0}
       40    0.000    0.000    0.003    0.000 core.py:109(get_object_signature)
      252    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       21    0.000    0.000    0.077    0.004 sre_compile.py:493(compile)
      105    0.000    0.000    0.001    0.000 inspect.py:59(isclass)
        1    0.000    0.000    0.003    0.003 pipes.py:57(<module>)
